epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,220.352,1.81312,1.99975,0.01693,0.32814,0.37201,0.32922,0.14473,2.0435,2.40103,0.02274,0.000643101,0.000643101,0.000643101
43,224.589,1.74145,1.96518,0.01858,0.5713,0.34594,0.39381,0.1752,2.06097,2.20981,0.02443,0.000628101,0.000628101,0.000628101
44,229,1.71801,1.97207,0.01692,0.39812,0.51606,0.43345,0.19112,2.10734,2.34865,0.02462,0.000612981,0.000612981,0.000612981
45,234.979,1.73304,1.94384,0.01636,0.41167,0.45865,0.417,0.18857,2.15134,2.41591,0.02482,0.000597754,0.000597754,0.000597754
46,239.453,1.6768,1.95174,0.01612,0.45859,0.37735,0.37239,0.18099,2.04493,2.3175,0.02389,0.000582435,0.000582435,0.000582435
47,243.659,1.75314,1.95475,0.01864,0.39242,0.45152,0.39766,0.19777,2.02852,2.22795,0.02305,0.00056704,0.00056704,0.00056704
48,249.615,1.75555,1.89781,0.01772,0.43731,0.44002,0.4136,0.20003,2.01222,2.2441,0.02238,0.000551584,0.000551584,0.000551584
49,254.024,1.66785,1.79348,0.01549,0.52525,0.47358,0.44878,0.19881,1.96354,2.26227,0.02294,0.000536081,0.000536081,0.000536081
50,258.368,1.59412,1.97067,0.01607,0.52142,0.40565,0.40721,0.18219,2.03615,2.33556,0.02407,0.000520548,0.000520548,0.000520548
51,264.106,1.63861,1.84345,0.01573,0.44825,0.41076,0.39727,0.17701,2.00996,2.38063,0.02309,0.000505,0.000505,0.000505
52,268.761,1.62664,1.90245,0.01525,0.41411,0.44655,0.39865,0.19627,2.065,2.17048,0.02385,0.000489452,0.000489452,0.000489452
53,273.021,1.60684,1.76212,0.01438,0.43188,0.46686,0.41853,0.21838,1.95089,2.38325,0.02184,0.000473919,0.000473919,0.000473919
54,278.692,1.65527,1.82347,0.016,0.40069,0.42491,0.3956,0.20844,1.98374,2.28218,0.02327,0.000458416,0.000458416,0.000458416
55,283.417,1.64239,1.66887,0.01714,0.37512,0.43734,0.38997,0.20007,2.10053,2.19937,0.02452,0.00044296,0.00044296,0.00044296
56,287.688,1.64332,1.7477,0.01537,0.46974,0.41477,0.41319,0.19928,2.13725,2.21182,0.02445,0.000427565,0.000427565,0.000427565
57,293.081,1.65221,1.78404,0.01795,0.3718,0.46996,0.41458,0.20367,2.04519,2.28512,0.02339,0.000412246,0.000412246,0.000412246
58,297.757,1.62744,1.6388,0.01412,0.54558,0.38809,0.41548,0.22043,1.9552,2.39557,0.02235,0.000397019,0.000397019,0.000397019
59,302.157,1.6404,1.71774,0.01502,0.69081,0.36717,0.43872,0.23236,1.97741,2.31643,0.02243,0.000381899,0.000381899,0.000381899
60,307.757,1.63896,1.67429,0.01465,0.57207,0.36884,0.41741,0.22017,1.94839,2.30418,0.02228,0.000366899,0.000366899,0.000366899
61,312.553,1.57052,1.63855,0.0149,0.47427,0.43827,0.42297,0.2185,1.88678,2.29264,0.0221,0.000352037,0.000352037,0.000352037
62,316.785,1.55559,1.68188,0.01411,0.62491,0.45488,0.45269,0.23207,1.93505,2.14613,0.0219,0.000337325,0.000337325,0.000337325
63,322.334,1.49913,1.60852,0.01422,0.64641,0.45432,0.45914,0.24095,1.93523,2.18424,0.02175,0.000322778,0.000322778,0.000322778
64,327.256,1.5034,1.56821,0.01472,0.54962,0.41511,0.45106,0.23022,1.93219,2.2506,0.02075,0.000308412,0.000308412,0.000308412
65,331.476,1.58179,1.69546,0.01524,0.57479,0.38951,0.44202,0.21595,1.91341,2.22159,0.02174,0.000294239,0.000294239,0.000294239
66,336.399,1.52934,1.60977,0.0136,0.55028,0.38141,0.42526,0.21119,1.93791,2.19299,0.02183,0.000280275,0.000280275,0.000280275
67,341.52,1.47922,1.64225,0.01247,0.39303,0.45895,0.42353,0.20861,1.99411,2.1195,0.0228,0.000266532,0.000266532,0.000266532
68,345.794,1.54108,1.60684,0.01409,0.73227,0.37499,0.46175,0.21243,2.04143,2.10217,0.02352,0.000253024,0.000253024,0.000253024
69,350.528,1.63566,1.62451,0.01521,0.34694,0.47596,0.42667,0.19579,2.02976,2.20799,0.02299,0.000239766,0.000239766,0.000239766
70,355.939,1.46477,1.54234,0.01346,0.38331,0.46727,0.39911,0.19482,2.02007,2.15974,0.02333,0.000226769,0.000226769,0.000226769
71,360.247,1.54876,1.48636,0.0136,0.38018,0.45557,0.38729,0.19036,2.04602,2.11203,0.02408,0.000214046,0.000214046,0.000214046
72,364.669,1.5807,1.38934,0.01552,0.35497,0.4664,0.38488,0.18869,2.05997,2.17571,0.02326,0.000201611,0.000201611,0.000201611
73,370.347,1.53508,1.40339,0.0138,0.38236,0.45452,0.38736,0.19656,2.04895,2.18939,0.02333,0.000189475,0.000189475,0.000189475
74,374.693,1.56938,1.56376,0.01396,0.40779,0.51497,0.41572,0.2119,2.00513,2.2368,0.02282,0.000177651,0.000177651,0.000177651
75,378.931,1.52598,1.45104,0.01512,0.378,0.51534,0.4386,0.22245,1.99316,2.18786,0.02288,0.000166149,0.000166149,0.000166149
76,384.854,1.45525,1.34883,0.01397,0.56853,0.4545,0.4565,0.23482,1.99618,2.16781,0.02395,0.000154982,0.000154982,0.000154982
77,389.098,1.46894,1.42451,0.01282,0.45481,0.45152,0.45732,0.23634,2.03099,2.08539,0.02448,0.000144161,0.000144161,0.000144161
78,393.329,1.49846,1.51692,0.01416,0.557,0.46334,0.47184,0.2288,2.03406,2.10055,0.02441,0.000133695,0.000133695,0.000133695
79,399.114,1.43461,1.39152,0.01298,0.56504,0.44484,0.47462,0.23252,2.00581,2.10879,0.02387,0.000123596,0.000123596,0.000123596
80,403.604,1.39832,1.3536,0.01211,0.54622,0.46842,0.47237,0.23601,2.00789,2.07346,0.02374,0.000113873,0.000113873,0.000113873
81,407.854,1.47636,1.39216,0.0135,0.60253,0.44495,0.48053,0.24386,2.01777,2.04546,0.02378,0.000104537,0.000104537,0.000104537
82,413.939,1.48535,1.43141,0.01233,0.5444,0.46434,0.48402,0.24121,2.0329,1.99767,0.02326,9.55951e-05,9.55951e-05,9.55951e-05
83,418.218,1.45613,1.40795,0.01299,0.47244,0.53846,0.48689,0.24358,2.01926,1.98729,0.0231,8.70577e-05,8.70577e-05,8.70577e-05
84,422.563,1.37769,1.27324,0.01286,0.45905,0.54051,0.46817,0.24159,1.93906,2.08993,0.02169,7.89327e-05,7.89327e-05,7.89327e-05
85,428.132,1.39378,1.35576,0.01333,0.43686,0.50926,0.46991,0.24105,1.92079,2.10377,0.02169,7.12282e-05,7.12282e-05,7.12282e-05
86,432.707,1.43124,1.34495,0.0139,0.47762,0.47758,0.45628,0.23927,1.92451,2.07183,0.02196,6.39518e-05,6.39518e-05,6.39518e-05
87,436.993,1.42199,1.25913,0.01216,0.6121,0.42567,0.46681,0.24212,1.90988,2.09392,0.02171,5.71106e-05,5.71106e-05,5.71106e-05
88,442.696,1.39322,1.29123,0.01177,0.61357,0.45297,0.47544,0.24569,1.92155,2.07031,0.02157,5.07115e-05,5.07115e-05,5.07115e-05
89,447.438,1.45375,1.45246,0.01461,0.61145,0.45018,0.48,0.24651,1.92221,2.08113,0.02136,4.47606e-05,4.47606e-05,4.47606e-05
90,453.958,1.44286,1.45758,0.01413,0.59168,0.44319,0.49135,0.24976,1.91432,2.09292,0.02138,3.9264e-05,3.9264e-05,3.9264e-05
91,461.641,1.37748,1.22173,0.01626,0.61216,0.39813,0.47737,0.2401,1.92855,2.11754,0.022,3.4227e-05,3.4227e-05,3.4227e-05
92,465.871,1.43337,1.43906,0.01848,0.5011,0.4881,0.46942,0.23379,1.96004,2.12833,0.02263,2.96546e-05,2.96546e-05,2.96546e-05
93,470.901,1.39992,1.19286,0.01533,0.48594,0.49685,0.4743,0.23734,1.96854,2.09161,0.02266,2.55513e-05,2.55513e-05,2.55513e-05
94,476.027,1.42181,1.16966,0.01547,0.47953,0.50113,0.47016,0.23712,1.94573,2.14922,0.02218,2.19212e-05,2.19212e-05,2.19212e-05
95,480.31,1.38952,1.11236,0.01558,0.50657,0.49601,0.46922,0.23993,1.94984,2.14315,0.02209,1.87678e-05,1.87678e-05,1.87678e-05
96,485.466,1.40149,1.21222,0.01666,0.53663,0.4596,0.46954,0.23959,1.98791,2.08102,0.0225,1.60943e-05,1.60943e-05,1.60943e-05
97,490.602,1.31606,1.19687,0.01479,0.52303,0.46687,0.46924,0.23952,1.97969,2.0777,0.02254,1.39032e-05,1.39032e-05,1.39032e-05
98,494.834,1.38058,1.17508,0.0186,0.51318,0.48615,0.4721,0.24017,1.95663,2.1025,0.02221,1.21968e-05,1.21968e-05,1.21968e-05
99,499.179,1.36309,1.1862,0.01712,0.52689,0.48279,0.47371,0.24043,1.97563,2.09152,0.02249,1.09768e-05,1.09768e-05,1.09768e-05
100,504.747,1.42172,1.38867,0.0157,0.51925,0.48158,0.47255,0.24129,1.95569,2.09534,0.02221,1.02443e-05,1.02443e-05,1.02443e-05
