epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,207.786,1.56185,2.2931,0.01467,0.34877,0.2886,0.27845,0.13513,1.89854,2.71196,0.02147,0.000628101,0.000628101,0.000628101
44,212.583,1.57409,2.28583,0.01459,0.23805,0.39373,0.29638,0.14141,1.95414,2.68203,0.02198,0.000612981,0.000612981,0.000612981
45,216.781,1.66488,2.1801,0.01545,0.30425,0.3301,0.31386,0.15123,1.93925,2.63416,0.02212,0.000597754,0.000597754,0.000597754
46,220.501,1.5929,2.23365,0.01516,0.33476,0.36405,0.33162,0.16901,1.8581,2.6393,0.02029,0.000582435,0.000582435,0.000582435
47,224.098,1.53975,2.2464,0.01492,0.30875,0.33071,0.31704,0.17061,1.88329,2.61791,0.02088,0.00056704,0.00056704,0.00056704
48,229.449,1.67443,2.27591,0.01681,0.29839,0.34969,0.28727,0.15813,1.88716,2.6527,0.02107,0.000551584,0.000551584,0.000551584
49,233.044,1.52098,2.09711,0.01365,0.25541,0.33826,0.2877,0.15386,1.91296,2.67483,0.02037,0.000536081,0.000536081,0.000536081
50,236.73,1.55997,2.20058,0.01488,0.37834,0.31185,0.312,0.16105,1.91888,2.63448,0.02122,0.000520548,0.000520548,0.000520548
51,241.024,1.44768,2.19681,0.01355,0.33083,0.32421,0.31441,0.16517,1.90764,2.64051,0.02234,0.000505,0.000505,0.000505
52,245.597,1.5694,2.29936,0.0149,0.33593,0.33249,0.31627,0.16781,1.96576,2.61672,0.02281,0.000489452,0.000489452,0.000489452
53,249.265,1.47027,2.1276,0.01306,0.35686,0.34079,0.33065,0.17175,1.88481,2.68111,0.02,0.000473919,0.000473919,0.000473919
54,252.932,1.58144,2.14203,0.01504,0.31573,0.40567,0.3518,0.19138,1.89821,2.57747,0.02105,0.000458416,0.000458416,0.000458416
55,258.267,1.54397,1.9476,0.01472,0.35148,0.37113,0.35128,0.18053,1.92834,2.56012,0.02097,0.00044296,0.00044296,0.00044296
56,261.968,1.50822,2.05921,0.01386,0.37998,0.35216,0.34347,0.17196,1.92469,2.54727,0.02104,0.000427565,0.000427565,0.000427565
